subcategories,subtype,name,numberOfReviews,rating,rawRanking,Region,District
Sights & Landmarks,Sacred & Religious Sites,Basar Saraswati Temple,90,4.5,3.25106287,Adilabad District,Adilabad
Sights & Landmarks,Sacred & Religious Sites,Maa Baglamukhi Temple,75,4.5,3.354441643,Agar Malwa District,Nalkheda
Sights & Landmarks,"Points of Interest & Landmarks, Castles, Architectural Buildings",Agra Fort,12071,4.5,4.744325638,Agra District,Agra
Sights & Landmarks,"Architectural Buildings, Points of Interest & Landmarks, Historic Sites",Taj Mahal,32199,5,5,Agra District,Agra
Sights & Landmarks,Points of Interest & Landmarks,Manek Chowk,870,4,3.715342045,Ahmedabad District,Ahmedabad
Sights & Landmarks,Sacred & Religious Sites,ISKCON Temple,500,4.5,3.918852329,Ahmedabad District,Ahmedabad
Sights & Landmarks,Sacred & Religious Sites,Hathee Singh Jain Temple,478,4.5,4.029387951,Ahmedabad District,Ahmedabad
Sights & Landmarks,Ancient Ruins,Lothal,190,4,3.399937391,Ahmedabad District,Dholka
Nature & Parks,Waterfalls,Randha Falls,57,4.5,3.081707716,Ahmednagar District,Ahmednagar
Sights & Landmarks,Sacred & Religious Sites,Shri Saibaba Sansthan Temple,893,4.5,4.13061142,Ahmednagar District,Shirdi
Sights & Landmarks,Sacred & Religious Sites,Shani Shingnapur,492,4,3.568225384,Ahmednagar District,Shingnapur
Sights & Landmarks,Sacred & Religious Sites,Dwarkamai Masjid,357,4.5,4.23142767,Ahmednagar District,Shirdi
Events,Cultural Events,Pushkar Camel Fair,124,4.5,3.221476316,Ajmer District,Pushkar
Fun & Games,Game & Entertainment Centers,Xcapade Adventures,701,5,4.450217724,Ajmer District,Pushkar
Nature & Parks,Bodies of Water,Ana Sagar Lake,449,4,3.672608852,Ajmer District,Ajmer
Nature & Parks,Bodies of Water,Pushkar Lake,2977,4,3.417824745,Ajmer District,Pushkar
Sights & Landmarks,Sacred & Religious Sites,Nareli Jain Temple,117,4.5,3.444883823,Ajmer District,Ajmer
Museums,Art Museums,Revi Karunakaran Museum,240,4,3.395769596,Alappuzha District,Alappuzha
"Nature & Parks, Outdoor Activities",Beaches,Alappuzha Beach,1528,3.5,3.355009556,Alappuzha District,Alappuzha
Nature & Parks,Bodies of Water,Siliserh Lake,538,4,3.563010454,Alwar District,Alwar
Sights & Landmarks,Points of Interest & Landmarks,Bhangarh Fort,617,4,3.581856012,Alwar District,Alwar
Nature & Parks,Nature & Wildlife Areas,MelGhat Tiger Reserve,43,4,2.92434454,Amravati District,Amravati
Sights & Landmarks,"Architectural Buildings, Sacred & Religious Sites",Shri Ambadevi Temple,43,4.5,3.123954058,Amravati District,Amravati
Sights & Landmarks,Sacred & Religious Sites,Manilaxmi Jain Tirth,52,4.5,3.10851264,Anand District,Anand
Sights & Landmarks,Sacred & Religious Sites,Narmada Udgam Temple,119,4.5,3.49447155,Anuppur District,Amarkantak
Sights & Landmarks,Sacred & Religious Sites,Gorakhnath Temple,167,4.5,3.599357843,Baghpat District,Gorakhpur
"Nature & Parks, Outdoor Activities",Beaches,Chandipur Beach,171,4,3.197652817,Balasore District,Balasore
"Nature & Parks, Outdoor Activities",Beaches,Talasari Beach,70,4,2.988639116,Balasore District,Balasore
Sights & Landmarks,Sacred & Religious Sites,Shreee Panchalingeswar Temple,71,4,3.119112968,Balasore District,Balasore
Shopping,Shopping Malls,Phoenix Marketcity,665,4.5,3.894114494,Bangalore District,Bengaluru
Shopping,Shopping Malls,Orion Mall,567,4,3.78665185,Bangalore District,Bengaluru
"Shopping, Museums","Art Museums, Art Galleries",Karnataka Chitrakala Parishat,223,4.5,3.858780861,Bangalore District,Bengaluru
Sights & Landmarks,Sacred & Religious Sites,Dodda Ganapathi Temple,559,4.5,3.916311979,Bangalore District,Bengaluru
Sights & Landmarks,Points of Interest & Landmarks,Mahatma Gandhi (MG) Road,1310,4,3.681007385,Bangalore District,Bengaluru
Sights & Landmarks,Sacred & Religious Sites,Sree Surya Narayana Swamy Temple,328,4.5,4.11284399,Bangalore District,Bengaluru
Sights & Landmarks,"Architectural Buildings, Sacred & Religious Sites",Pyramid Valley International,381,4,3.566070557,Bangalore District,Bengaluru
Sights & Landmarks,Sacred & Religious Sites,Ragigudda Sri Prasanna Anjaneyaswamy Temple,585,4.5,4.07494545,Bangalore District,Bengaluru
Spas & Wellness,Spas,Tattva Spa,108,5,4.411025047,Bangalore District,Bengaluru
Shopping,Shopping Malls,Junction Mall,114,4,3.288763285,Bardhaman District,Durgapur
Shopping,Shopping Malls,Phoenix United,49,4,2.953739405,Bareilly District,Bareilly
Nature & Parks,Waterfalls,Chitrakot Waterfall,186,4.5,3.971472025,Bastar District,Jagdalpur
